,LocationId,TotalCapacity,LocationName,CountOfParticipants,PercetageCapacity,LastUpdatedDateAndTime,LastCount,MinColor,MidColor,MaxColor,MinCapacityRange,MaxCapacityRange,CountCapacityColorEnabled,FacilityId,FacilityName,IsClosed,time_retrived
0,6129,100,Upper Track (4th Floor),0,0,2021-11-16T18:25:48.663,1,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637105676.2940695
1,5978,50,Faculty/Staff Workout Area ,0,0,2021-11-16T18:25:49.133,0,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637105676.2940695
2,5995,100,Upper Fitness ,0,0,2021-11-16T18:25:49.57,13,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637105676.2940695
3,5996,100,Upper Gym,0,0,2021-11-16T18:25:50.007,30,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637105676.2940695
4,6130,100,MAC Court (Cardio),0,0,2021-11-16T18:25:50.43,0,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637105676.2940695
5,7289,50,MAC (badminton),0,0,2021-11-16T18:25:50.93,3,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637105676.2940695
6,6158,100,West Mezzanine (3rd Floor),0,0,2021-11-16T18:25:51.337,5,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637105676.2940695
7,5984,100,Atrium Track (3rd Floor),0,0,2021-11-16T18:25:51.74,4,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637105676.2940695
8,6157,100,East Mezzanine (3rd Floor),0,0,2021-11-16T18:25:52.24,2,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637105676.2940695
9,5988,50,Mindfulness Room ,0,0,2021-11-16T18:25:52.647,2,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637105676.2940695
10,5991,200,Racquetball/Squash Courts ,0,0,2021-11-16T18:25:53.43,2,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637105676.2940695
11,7292,100,Fitness Pavilion (strength),0,0,2021-11-16T18:25:53.837,23,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637105676.2940695
12,7293,100,Fitness Pavilion (cardio),0,0,2021-11-16T18:25:54.337,8,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637105676.2940695
13,5981,100,Fitness Loft,0,0,2021-11-16T18:25:54.74,14,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637105676.2940695
14,5979,100,Feature Gym,0,0,2021-11-16T18:25:55.147,3,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637105676.2940695
15,5960,300,B&G Gym 1-3,0,0,2021-10-21T20:30:24.72,0,#ffc90e,,#ed1c24,60,90,True,976,Operations,True,1637105676.2940695
16,5961,300,B&G Gym 4-6,0,0,2021-11-16T18:25:55.71,42,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637105676.2940695
17,5993,200,Scifres ,0,0,2021-11-16T18:25:56.117,33,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637105676.2940695
18,5972,20,Climbing Wall ,0,0,2021-11-16T18:25:56.523,7,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637105676.2940695
19,5969,20,Bouldering Wall,0,0,2021-11-16T18:25:56.933,12,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637105676.2940695
20,5976,300,East Fitness (Strength Equipment),0,0,2021-11-16T18:25:57.337,57,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637105676.2940695
21,5990,50,Olympic Lifting Room ,0,0,2021-11-16T18:25:57.757,11,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637105676.2940695
22,6132,300,MP4 (Table Tennis),0,0,2021-11-16T18:25:58.647,4,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637105676.2940695
23,6131,100,MP3 (Strength Equipment),0,0,2021-11-16T18:25:59.053,9,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637105676.2940695
24,7291,300,Colby (Cardio),0,0,2021-11-16T18:25:59.46,9,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637105676.2940695
25,7290,300,Colby (Strength),0,0,2021-11-16T18:25:59.867,117,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637105676.2940695
26,5985,300,Lower Gym (Badminton & Pickleball),0,0,2021-11-16T18:26:00.273,23,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637105676.2940695
27,5994,300,TREC,0,0,2021-11-16T18:26:00.68,12,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637105676.2940695
